image_id,property_id,property_address,property_price,property_url,image_url,image_order
2797,5879,Zandstraat 26-1,995000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-zandstraat-26-1/43218750/,https://cloud.funda.nl/valentina_media/223/479/267.jpg?options=width=1440,2
2802,5880,Pieter Calandlaan 586,565000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-pieter-calandlaan-586/43213846/,https://cloud.funda.nl/valentina_media/223/663/458.jpg?options=width=1440,2
2807,5881,Memeleiland 49,995000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-memeleiland-49/43224091/,https://cloud.funda.nl/valentina_media/224/088/222.jpg?options=width=1440,2
2812,5882,Dick Greinerstraat 74,570000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-dick-greinerstraat-74/43210536/,https://cloud.funda.nl/valentina_media/223/545/006.jpg?options=width=1440,2
2817,5883,Recht Boomssloot 80-H,1495000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-recht-boomssloot-80-h/89681480/,https://cloud.funda.nl/valentina_media/223/811/496.jpg?options=width=1440,2
2822,5884,Koninginneweg 271-2,750000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-koninginneweg-271-2/43216919/,https://cloud.funda.nl/valentina_media/223/411/610.jpg?options=width=1440,2
2827,5885,Semarangstraat 22-C,395000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-semarangstraat-22-c/43228645/,https://cloud.funda.nl/valentina_media/223/842/666.jpg?options=width=1440,2
2832,5886,Hestiastraat 77-4,425000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-hestiastraat-77-4/43222537/,https://cloud.funda.nl/valentina_media/223/994/474.jpg?options=width=1440,2
2837,5887,Van Houweningenstraat 62-2,425000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-van-houweningenstraat-62-2/43223546/,https://cloud.funda.nl/valentina_media/224/033/234.jpg?options=width=1440,2
2842,5888,Josephus Jittastraat 95,475000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-josephus-jittastraat-95/43223974/,https://cloud.funda.nl/valentina_media/224/046/948.jpg?options=width=1440,2
2847,5890,Dijkgraafplein 285,370000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-dijkgraafplein-285/43247581/,https://cloud.funda.nl/valentina_media/224/550/500.jpg?options=width=1440,2
2852,5891,Wagenaarstraat 327,545000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-wagenaarstraat-327/43232825/,https://cloud.funda.nl/valentina_media/224/380/162.jpg?options=width=1440,2
2857,5892,Waterkeringweg 65,600000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-waterkeringweg-65/43230479/,https://cloud.funda.nl/valentina_media/224/291/582.jpg?options=width=1440,2
2862,5893,Langswater 199,275000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-langswater-199/89696749/,https://cloud.funda.nl/valentina_media/224/391/696.jpg?options=width=1440,2
2867,5894,Valeriusstraat 81-H,1595000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-valeriusstraat-81-h/43231708/,https://cloud.funda.nl/valentina_media/224/342/382.jpg?options=width=1440,2
2872,5895,Pieter Calandlaan 696,430000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-pieter-calandlaan-696/89699748/,https://cloud.funda.nl/valentina_media/224/127/557.jpg?options=width=1440,2
2877,5896,Egelantiersstraat 236-B,675000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-egelantiersstraat-236-b/43239214/,https://cloud.funda.nl/valentina_media/224/283/583.jpg?options=width=1440,2
2883,5898,H.J. Algrastraat 68,475000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-hj-algrastraat-68/43247973/,https://cloud.funda.nl/valentina_media/224/563/626.jpg?options=width=1440,2
2888,5899,Overtoom 310-1,625000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-overtoom-310-1/43231020/,https://cloud.funda.nl/valentina_media/224/352/946.jpg?options=width=1440,2
2893,5902,Nieuwendammerdijk 457,1900000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-nieuwendammerdijk-457/43237815/,https://cloud.funda.nl/valentina_media/224/193/872.jpg?options=width=1440,2
2898,5903,Gerard Doustraat 182-2,475000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-gerard-doustraat-182-2/43249295/,https://cloud.funda.nl/valentina_media/224/649/718.jpg?options=width=1440,2
2903,5904,Bartholomeus Diazstraat 20-3,400000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bartholomeus-diazstraat-20-3/43239146/,https://cloud.funda.nl/valentina_media/224/280/559.jpg?options=width=1440,2
2908,5905,Pieter Vlamingstraat 32-1,395000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-pieter-vlamingstraat-32-1/43356351/,https://cloud.funda.nl/valentina_media/224/926/976.jpg?options=width=1440,2
2913,5906,Albert Neuhuysstraat 30-3,775000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-albert-neuhuysstraat-30-3/43242562/,https://cloud.funda.nl/valentina_media/224/736/766.jpg?options=width=1440,2
2918,5907,Van Heenvlietlaan 282-L,285000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-van-heenvlietlaan-282-l/43249485/,https://cloud.funda.nl/valentina_media/224/618/946.jpg?options=width=1440,2
